%
%
%2022-07-06 09:04:50.131079%
indice ambiente colector torre
0 21.44 28.21 35.31
1 21.12 29.18 34.66
2 21.44 29.5 36.92
3 21.44 30.47 38.85
4 21.44 30.79 40.46
5 21.44 32.08 41.43
6 21.44 32.4 42.4
7 21.76 33.05 43.04
8 21.76 33.37 43.69
9 21.76 33.69 44.66
10 22.09 34.34 44.98
11 21.76 34.66 45.3
12 22.09 34.34 45.62
13 22.41 34.98 45.95
14 22.41 35.31 46.27
15 22.41 34.98 45.95
16 22.41 34.66 45.95
17 22.73 35.31 46.27
18 23.05 34.34 46.59
19 22.73 35.31 47.23
20 21.76 34.34 44.33
21 21.76 34.34 44.98
22 21.76 34.02 45.62
23 21.76 34.02 45.95
24 21.76 34.02 46.27
25 21.76 34.66 47.23
26 21.76 34.66 46.59
27 21.76 35.63 47.88
28 21.76 35.31 47.56
29 21.76 35.63 47.56
30 21.76 35.31 47.88
31 21.76 34.98 48.52
32 21.76 34.34 47.23
33 21.76 32.73 43.69
34 21.76 31.44 40.14
35 21.76 30.15 38.53
36 21.44 30.15 36.27
37 21.44 30.15 37.56
38 21.76 30.79 40.79
39 21.76 31.44 43.37
40 21.76 33.37 46.27
41 22.09 34.02 47.88
42 22.09 33.37 48.52
43 22.09 33.37 46.27
44 21.76 31.76 42.72
45 21.76 32.4 42.08
46 21.44 30.15 40.79
47 21.76 29.5 38.21
48 21.76 28.21 36.27
49 21.44 28.53 34.34
50 21.44 26.92 32.08
51 21.44 25.63 30.15
52 21.12 25.96 30.15
53 21.44 27.24 32.73
54 21.76 29.18 37.88
55 21.76 29.5 41.43
56 21.76 31.44 44.98
57 22.09 32.73 46.59
58 22.09 33.05 47.23
59 22.09 33.05 48.2
60 22.09 32.73 47.23
61 22.09 31.76 44.98
62 22.09 31.44 41.43
63 22.41 30.79 40.46
64 22.41 30.79 44.33
65 22.73 31.44 47.23
66 23.38 31.76 49.49
67 23.05 32.73 50.14
68 22.73 32.4 50.46
69 23.7 33.05 51.75
70 22.73 33.37 52.07
71 21.76 33.69 52.72
72 22.41 34.34 54.01
