%
%
%2022-06-24 08:01:38.899860%
indice ambiente colector torre
0 16.28 17.25 15.64
1 15.64 16.6 14.99
2 15.32 15.64 15.64
3 15.96 16.93 15.64
4 15.64 17.57 15.96
5 15.32 16.93 16.6
6 15.64 18.54 14.03
7 15.96 18.22 14.03
8 15.96 17.25 16.93
9 15.96 17.89 14.03
10 15.96 16.6 16.28
11 15.96 18.22 15.32
12 15.64 16.93 17.57
13 15.96 17.25 17.25
14 15.64 18.54 16.93
15 14.99 17.89 16.93
16 15.64 17.89 16.93
17 15.96 17.89 16.93
18 15.96 17.89 17.57
19 15.64 18.86 18.22
20 15.96 17.25 18.22
21 15.96 17.57 14.35
22 15.96 17.89 20.8
23 16.28 16.28 14.67
24 15.96 18.22 17.57
25 16.6 18.22 17.57
26 15.96 17.25 18.22
27 16.28 18.86 15.32
28 16.28 17.25 16.93
29 16.28 18.22 18.86
30 16.28 19.18 19.18
31 16.6 18.86 19.18
32 16.28 18.86 20.47
33 15.96 19.83 19.83
34 16.28 19.18 20.8
35 16.28 19.18 20.47
36 14.67 19.51 20.15
37 15.96 19.83 20.8
38 16.28 19.83 20.47
39 16.93 19.18 20.47
40 16.28 19.51 21.44
41 15.96 17.89 20.15
42 15.96 19.51 22.09
43 16.28 20.15 23.38
44 15.96 19.83 24.34
45 16.28 19.18 23.38
46 16.6 20.8 25.31
47 16.6 21.44 24.34
48 16.6 21.76 24.02
49 16.6 22.73 21.76
50 16.6 22.09 24.34
51 16.93 23.05 25.63
52 17.25 23.38 25.63
53 16.93 23.05 26.6
54 16.93 23.7 26.6
55 17.25 23.7 24.99
56 17.57 24.02 23.38
57 17.25 26.28 26.92
58 17.25 24.02 28.21
59 17.57 25.31 26.28
60 17.57 24.67 28.53
61 17.89 24.99 29.18
62 17.57 23.7 23.7
63 16.93 24.99 27.89
64 17.25 24.34 27.89
65 17.25 24.67 28.21
66 17.57 25.63 25.63
67 17.25 24.34 29.18
68 17.25 23.7 24.99
69 17.25 25.31 25.96
70 15.96 22.73 26.92
71 17.25 23.38 25.96
72 17.25 22.73 25.63
73 17.57 23.05 25.63
74 17.25 22.09 24.34
75 17.25 22.73 25.96
76 16.6 23.7 21.12
77 17.57 23.05 23.05
78 17.25 21.76 21.44
79 17.25 23.7 27.57
80 17.57 23.05 24.02
81 17.25 22.41 25.96
82 17.57 23.38 22.41
83 17.25 23.05 24.99
84 17.57 23.05 25.31
85 17.57 22.09 23.7
86 17.57 24.02 28.53
87 17.89 24.34 25.96
88 18.22 25.31 26.92
89 18.22 24.99 25.96
90 18.22 25.31 30.15
91 17.89 25.31 28.53
92 17.57 25.63 28.53
93 17.57 25.96 30.15
94 17.89 26.28 29.18
95 17.89 26.6 28.53
96 17.89 26.92 29.5
97 17.89 25.31 29.5
98 18.22 26.28 26.28
99 17.89 26.6 29.18
100 17.57 25.63 27.57
101 17.57 25.96 26.92
102 17.89 25.96 28.21
103 18.22 26.6 26.28
104 17.89 25.96 26.92
105 17.25 25.63 27.89
106 17.57 24.99 27.24
107 17.89 24.99 26.28
108 18.22 25.63 25.96
109 18.22 25.63 29.18
110 19.18 27.89 28.21
111 18.54 25.96 30.47
112 18.86 27.89 30.15
113 18.54 28.86 32.4
114 18.54 29.82 32.73
115 18.86 30.15 32.73
116 18.86 30.47 34.34
117 19.18 31.11 34.02
118 19.51 30.79 32.08
119 19.18 32.08 35.31
120 19.18 32.4 34.34
121 19.83 32.4 35.63
122 19.51 32.08 35.31
123 18.86 30.79 33.69
124 19.18 32.4 38.21
125 19.83 32.4 35.95
126 19.18 31.76 33.05
127 19.83 31.44 35.63
128 19.83 32.73 35.95
129 19.83 32.73 35.31
130 19.83 33.37 39.17
131 19.83 33.05 34.66
132 19.83 33.37 37.88
133 20.15 33.37 36.27
134 19.83 32.73 37.24
135 19.83 33.05 38.53
136 19.18 32.4 35.95
137 19.51 32.4 36.27
138 18.86 32.4 35.63
139 19.18 31.44 34.66
140 19.18 31.76 38.21
141 19.18 31.76 31.76
142 19.18 31.76 35.63
143 19.51 31.11 34.66
144 19.51 32.08 37.56
145 19.51 32.4 37.56
146 19.51 32.4 36.27
147 19.51 31.76 35.31
148 19.51 31.11 35.31
149 19.83 32.4 32.73
150 19.51 32.73 35.31
151 19.51 33.37 37.88
152 19.83 34.02 39.17
153 20.47 33.37 40.14
154 20.8 34.34 39.5
155 20.47 34.02 42.4
156 20.8 35.63 41.11
157 20.8 35.63 43.37
158 20.47 34.34 41.11
159 19.83 35.63 43.04
160 20.8 34.98 40.46
161 21.12 35.63 41.43
162 21.12 36.27 42.08
163 21.12 35.31 43.37
164 20.8 35.95 41.11
165 20.8 35.63 39.82
166 20.8 35.63 41.43
167 20.8 36.27 39.17
168 21.12 35.63 42.4
169 21.12 35.95 41.43
170 20.8 34.98 40.79
171 21.12 34.34 41.11
172 21.12 34.98 39.5
173 21.12 35.95 41.75
174 21.44 36.27 42.08
175 21.76 36.27 41.43
176 21.44 36.6 40.46
177 21.76 36.27 42.72
178 21.76 36.27 43.69
179 21.76 37.56 43.37
180 20.8 38.53 44.66
181 21.44 37.56 44.01
182 21.44 37.56 44.01
183 21.76 37.56 45.3
184 21.12 37.24 43.69
185 21.12 38.85 40.79
186 21.44 37.24 43.04
187 21.76 39.5 44.98
188 22.41 39.82 45.62
189 21.44 40.79 44.66
190 22.73 40.46 45.3
191 22.09 40.14 45.95
192 22.09 39.82 44.66
193 22.41 39.5 43.04
194 21.76 38.85 46.59
195 22.41 38.21 44.98
196 21.44 39.5 41.75
197 22.41 37.88 43.04
198 22.41 38.21 41.43
199 21.12 37.24 42.4
200 21.76 37.24 41.11
201 21.76 37.24 41.11
202 21.76 37.88 40.79
203 21.76 35.63 39.17
204 22.09 35.31 38.53
205 21.44 34.98 40.14
206 21.44 34.98 37.88
207 21.76 35.31 39.5
208 22.09 36.27 40.79
209 22.09 36.92 39.82
210 21.12 36.92 41.75
211 21.76 37.56 42.08
212 22.09 38.53 42.72
213 21.76 37.56 44.33
214 18.54 34.66 38.85
215 18.22 34.66 40.46
216 17.89 34.66 36.92
217 17.89 34.66 33.69
218 18.22 34.66 39.5
219 17.57 34.34 37.56
220 17.89 34.34 37.56
221 18.22 32.4 37.24
222 18.22 31.76 35.63
223 17.89 31.44 35.95
224 17.57 31.44 34.66
225 17.89 31.76 36.6
226 17.89 32.73 37.24
227 17.89 33.69 38.85
228 18.22 33.69 39.82
229 17.89 34.66 39.5
230 18.54 35.31 39.17
231 18.22 34.66 38.53
232 18.22 34.34 36.92
233 17.89 33.37 37.88
234 17.57 33.05 36.6
235 17.57 32.73 37.88
236 17.89 33.37 36.6
237 17.57 32.4 35.63
238 17.89 33.37 36.27
239 17.89 32.4 36.6
240 17.89 33.05 39.82
241 17.89 33.69 35.63
242 17.89 33.05 36.27
243 18.54 34.34 40.14
244 18.54 35.63 42.08
245 18.86 35.63 42.4
246 18.86 35.31 41.11
247 19.18 33.69 38.85
248 18.86 34.66 34.66
249 18.86 33.05 37.88
250 18.86 34.02 39.5
251 18.54 34.02 38.21
252 18.86 34.02 36.92
253 18.86 32.4 35.63
254 19.83 31.11 35.63
255 18.22 30.47 36.27
256 19.18 32.08 35.95
257 18.86 32.4 35.63
258 19.18 32.73 36.92
259 18.86 33.37 36.6
260 19.18 33.69 34.98
261 19.51 33.69 34.02
262 19.18 33.69 33.05
263 19.18 33.37 32.73
264 19.51 32.73 29.82
265 19.18 32.4 30.79
266 19.18 32.73 31.44
267 18.86 33.05 30.47
268 19.18 32.73 30.47
269 19.18 32.4 27.89
270 18.86 31.76 30.15
271 19.51 32.08 29.5
272 19.18 31.44 28.86
273 18.86 31.76 28.21
274 19.18 30.79 28.21
275 19.18 31.11 28.53
276 19.51 31.44 26.28
277 19.51 32.4 26.92
278 19.18 32.73 29.5
279 19.51 32.4 28.53
280 19.51 32.4 28.21
281 18.86 31.44 28.21
282 19.18 29.5 24.34
283 19.51 31.11 26.28
284 18.86 30.79 26.6
285 18.54 30.15 25.96
286 19.18 30.47 26.28
287 19.51 29.18 27.89
288 19.51 28.86 25.63
289 19.83 27.89 23.7
290 20.15 27.89 24.67
291 19.51 27.89 25.31
292 19.18 27.57 24.99
293 19.18 26.28 22.09
294 19.83 26.92 23.05
295 19.51 26.92 25.63
296 19.51 26.6 25.63
297 20.47 27.24 26.6
298 20.15 27.57 26.92
299 20.8 28.21 27.24%
%
