"%2022-06-22 09:48:25.780791"   
indice ambiente colector torre
227 21.44 23.38 27.24
228 21.44 23.38 27.57
229 21.76 24.02 26.92
230 21.76 24.02 28.53
231 21.44 23.7 28.21
232 21.76 24.02 27.89
233 21.76 24.02 26.6
234 21.76 23.7 27.57
235 21.76 23.7 27.57
236 21.44 23.7 27.57
237 21.76 23.38 26.92
238 21.76 23.7 28.21
239 21.76 23.38 27.89
240 21.76 23.7 27.89
241 22.09 23.7 28.21
242 21.76 23.7 27.89
243 21.76 23.7 27.57
244 21.76 23.38 26.28
245 21.44 23.05 27.24
246 21.12 23.05 25.63
247 21.12 22.73 25.96
248 20.8 22.41 25.31
249 20.47 22.09 24.99
250 20.47 22.09 24.99
251 20.47 21.76 25.31
252 20.15 21.76 24.02
253 20.15 21.76 24.67
254 20.15 21.76 24.02
255 20.15 21.76 24.67
256 20.47 22.09 26.28
257 20.47 21.76 24.99
258 20.47 22.09 25.31
259 20.15 22.09 25.31
260 20.47 22.09 25.31
261 20.47 22.41 25.96
262 20.8 22.41 25.63
263 20.47 22.73 25.31
264 20.8 23.05 25.96
265 21.12 23.05 26.28
266 21.12 23.05 26.92
267 21.44 23.38 26.92
268 21.44 23.38 27.89
269 21.44 23.38 27.89
270 21.44 23.7 27.89
271 21.44 23.7 27.57
272 21.44 23.7 27.89
273 21.44 23.38 27.24
274 21.76 23.05 27.57
275 21.44 23.05 26.92
276 21.76 23.38 26.6
277 21.76 23.38 27.24
278 21.76 23.38 27.57
279 21.76 23.38 26.6
280 21.76 23.38 27.24
281 21.76 23.7 27.57
282 22.09 23.7 28.21
283 21.44 23.38 27.57
284 21.76 23.38 27.24
285 22.09 23.38 26.92
286 21.76 23.38 26.6
287 21.44 23.05 25.63
288 21.12 24.02 24.99
289 21.12 22.41 24.99
290 21.44 22.09 24.67
291 21.44 22.09 24.34
292 21.44 22.09 24.02
293 21.12 21.76 24.02
294 21.12 21.76 24.34
295 21.12 21.76 23.38
296 21.12 21.76 24.02
297 21.12 22.09 24.02
298 20.47 21.44 23.7
299 20.8 21.76 23.7
300 20.47 21.44 23.38
301 20.47 21.44 23.05
302 20.8 21.44 22.73
303 20.47 21.12 22.73
304 20.47 21.44 22.41
305 20.47 21.44 22.73
306 20.47 21.44 23.05
307 20.47 21.44 23.05
308 20.8 21.44 23.05
309 20.15 21.44 22.41
310 20.15 21.44 22.41
311 20.47 21.44 23.05
312 19.83 21.12 21.76
313 19.83 20.8 21.44
314 19.51 20.8 21.12
315 19.51 20.47 21.44
316 19.18 20.47 21.44
317 19.51 21.12 21.44
318 19.83 20.8 21.12
319 19.51 20.47 20.15
320 19.18 20.8 21.44
321 19.83 20.47 20.8
322 19.83 20.47 20.8
323 19.83 20.47 20.8
324 19.51 20.47 20.8
325 19.83 20.47 20.8
326 19.83 20.8 20.15
327 19.51 23.05 20.47
