%
%
%2022-06-30 07:57:11.528814%
indice ambiente colector torre
0 16.93 16.93 16.28
1 16.28 16.93 15.96
2 15.96 17.57 16.6
3 16.6 16.93 15.96
4 16.28 16.93 15.96
5 16.6 16.28 14.03
6 15.96 17.57 15.32
7 16.28 16.28 14.67
8 16.28 16.6 16.28
9 16.28 16.28 15.32
10 15.96 16.93 15.96
11 16.6 16.93 15.64
12 16.28 15.64 15.32
13 16.28 16.93 15.96
14 16.6 18.22 12.74
15 16.6 15.64 15.32
16 16.93 17.25 16.93
17 16.6 16.93 17.25
18 16.6 16.6 16.6
19 16.6 17.25 18.86
20 16.28 16.28 15.32
21 16.6 17.25 17.57
22 16.6 15.96 19.18
23 16.6 18.22 14.99
24 16.6 17.57 17.89
25 16.28 17.89 17.89
26 16.6 17.89 17.25
27 16.93 16.28 16.93
28 16.6 17.57 18.54
29 16.6 18.86 19.18
30 16.6 18.22 17.25
31 16.6 17.25 18.86
32 16.93 17.89 20.47
33 16.6 18.22 18.22
34 16.93 17.89 18.86
35 16.6 17.89 18.86
36 16.6 18.54 15.96
37 16.6 18.54 17.25
38 16.6 18.22 19.83
39 17.25 17.57 19.83
40 16.93 18.22 22.41
41 17.25 17.89 24.67
42 16.93 19.51 25.63
43 17.57 18.54 26.6
44 17.25 18.86 26.28
45 16.93 18.86 27.89
46 17.25 19.83 26.92
47 17.57 20.8 27.57
48 17.57 20.15 27.89
49 17.57 20.15 29.18
50 17.57 21.76 27.89
51 17.25 21.76 27.24
52 17.25 21.12 27.57
53 17.25 22.41 27.89
54 17.57 23.7 28.86
55 17.25 24.67 28.21
56 17.89 24.99 30.47
57 17.89 25.96 30.79
58 17.25 25.96 31.11
59 17.89 25.31 30.79
60 18.22 25.96 31.76
61 18.54 25.63 33.37
62 18.54 24.67 32.4
63 19.18 26.28 33.05
64 19.18 26.28 34.34
65 18.54 29.18 34.98
66 19.18 27.89 35.95
67 18.86 29.5 34.66
68 19.18 29.82 37.88
69 19.51 29.18 35.31
70 19.51 30.15 36.92
71 19.83 31.11 36.27
72 19.51 31.44 35.95
73 19.83 30.79 37.56
74 19.83 31.44 37.88
75 19.83 30.15 38.21
76 19.51 31.44 39.5
77 19.83 31.76 37.56
78 19.51 30.79 35.31
79 19.51 29.18 32.4
80 19.51 28.86 31.76
81 19.51 28.53 31.11
82 19.18 27.57 33.05
83 19.51 27.24 30.47
84 19.51 25.63 29.5
85 19.51 25.96 28.53
86 19.18 24.99 26.92
87 18.86 24.99 26.92
88 19.18 24.67 26.28
