%
%
%2022-06-29 15:28:42.333229%
indice ambiente colector torre
0 23.38 26.92 29.18
1 23.05 26.92 29.82
2 22.73 27.24 30.15
3 23.38 26.92 29.5
4 23.05 27.57 30.79
5 23.05 27.57 30.15
6 22.73 27.57 30.15
7 22.73 27.89 29.82
8 22.73 27.24 28.53
9 22.73 27.57 29.18
10 22.73 27.89 29.18
11 21.76 27.57 29.5
12 22.73 27.57 29.82
13 22.73 27.24 29.5
14 23.38 28.21 28.86
15 23.05 27.57 30.15
16 23.7 26.28 29.5
17 23.05 27.24 28.21
18 23.7 27.57 28.53
19 23.38 27.24 29.18
20 23.38 27.57 29.5
21 23.05 27.89 29.18
22 23.05 27.57 29.5
23 23.05 27.24 29.5
24 23.38 27.57 29.82
25 23.05 27.24 29.5
26 23.05 26.92 29.82
27 23.05 27.24 29.5
28 23.05 25.96 27.89
29 23.7 26.28 25.63
30 23.7 25.96 24.99
31 23.05 27.89 26.92
32 23.05 26.28 27.89
33 23.05 25.96 28.21
34 23.05 27.24 26.28
35 23.38 26.6 25.63
36 23.7 24.67 28.53
37 23.05 26.28 25.63
38 23.7 26.6 28.53
39 23.38 25.96 26.92
40 23.38 26.28 25.63
41 23.38 26.28 26.92
42 23.38 26.28 35.31
43 23.38 26.6 27.89
44 23.38 26.6 26.6
45 23.05 28.21 28.21
46 23.05 25.63 26.28
47 23.38 27.24 28.53
48 23.38 26.92 28.53
49 22.73 27.57 28.86
50 23.38 27.24 28.86
51 23.05 27.24 27.89
52 22.09 26.6 27.57
53 23.05 27.24 27.57
54 22.73 27.57 29.5
55 23.38 24.02 28.53
56 22.73 26.92 27.89
57 23.05 26.92 28.53
58 23.05 27.57 27.89
59 23.38 27.24 28.21
60 23.05 27.89 27.57
61 23.38 26.92 27.89
62 23.38 27.24 28.53
63 23.38 25.96 27.57
64 23.38 27.24 27.24
65 23.38 26.92 28.21
66 23.38 27.24 27.89
67 23.05 26.92 28.86
68 22.73 27.57 25.31
69 23.38 26.92 27.24
70 23.38 24.34 28.21
71 23.38 26.6 27.57
72 23.05 26.28 28.21
73 23.38 27.24 29.18
74 23.05 24.99 27.89
75 23.05 26.28 27.89
76 23.05 26.6 28.21
77 23.38 26.28 26.92
78 23.7 27.24 27.24
79 23.05 24.34 29.18
80 23.38 27.89 26.28
81 23.7 26.92 26.28
82 23.38 24.99 27.57
83 23.38 26.28 26.92
84 24.02 26.6 25.96
85 24.02 25.96 27.89
86 23.38 25.96 23.7
87 23.7 26.28 26.28
88 23.7 26.6 28.21
89 23.05 23.05 25.96
90 23.7 25.96 26.6
91 23.7 26.28 25.96
92 23.7 25.96 25.96
93 23.38 25.63 26.6
94 23.38 26.28 22.41
95 23.38 25.96 26.6
96 22.73 25.63 25.96
97 23.05 26.28 26.28
98 23.7 25.96 24.99
99 23.38 24.99 21.76
100 23.38 24.34 25.96
101 23.38 25.31 24.99
102 23.05 24.67 23.38
103 22.73 25.31 25.31
104 23.38 24.99 26.28
105 23.05 25.63 24.67
106 23.7 23.7 24.67
107 23.05 24.67 27.57
108 22.73 26.28 26.28
109 23.05 24.02 26.92
110 23.38 25.96 23.7
111 23.05 25.31 25.31
112 23.38 23.7 25.31
113 23.38 25.31 25.63
114 23.7 26.28 24.99
115 23.05 25.31 26.28
116 23.05 24.67 25.31
117 23.38 25.63 26.28
118 23.38 25.96 25.31
119 24.02 25.63 23.38
120 23.38 24.02 25.63
121 23.7 25.63 26.28
122 23.7 25.31 25.96
123 23.38 25.96 26.28
124 23.38 25.63 26.92
125 23.38 26.28 26.6
126 23.38 26.92 25.31
127 23.7 26.28 27.89
128 23.05 24.02 27.24
129 23.7 26.92 24.99
130 23.38 26.28 27.24
131 23.38 26.6 26.28
132 23.7 25.63 24.34
133 23.38 26.28 27.24
134 23.38 26.28 29.18
135 23.7 26.28 27.24
136 23.38 25.31 28.86
137 23.38 25.63 25.63
138 24.02 26.28 26.28
139 23.7 26.92 24.67
140 23.05 26.92 26.92
141 23.38 26.28 26.28
142 23.38 26.92 26.92
143 23.7 25.31 26.92
144 23.7 25.31 28.86
145 23.7 24.99 26.92
146 24.02 25.63 25.31
147 23.05 25.63 23.7
148 22.73 25.96 25.96
149 23.05 25.63 23.7
150 23.38 23.7 25.96
151 23.7 25.31 25.31
152 24.02 26.28 24.02
153 23.7 24.99 24.34
154 23.7 25.63 25.63
155 23.7 25.63 24.34
156 23.38 24.99 26.28
157 23.05 25.96 23.7
158 23.7 25.31 23.38
159 23.38 24.67 24.67
160 23.7 23.38 27.24
161 23.7 24.99 23.7
162 23.38 24.99 23.05
163 23.38 25.31 24.34
164 23.7 24.67 23.38
165 23.38 24.99 22.09
166 23.7 24.34 23.7
167 23.7 24.34 24.34
168 23.7 24.34 22.73
169 23.38 24.02 24.67
170 23.38 24.99 24.67
171 23.7 24.02 23.05
172 23.38 24.67 25.31
173 23.38 24.34 23.7
174 23.38 24.02 23.38
175 23.38 23.7 22.09
176 24.02 23.7 22.09
177 23.38 24.34 24.67
178 23.38 24.99 21.12
179 23.38 25.63 20.47
180 23.38 24.99 23.38
181 23.38 24.34 21.12
182 22.73 24.34 23.7
183 22.73 25.31 23.7
184 23.05 24.02 23.7
185 23.38 23.7 23.38
186 23.7 24.99 24.02
187 23.05 24.34 23.7
188 23.7 22.73 20.47
189 23.38 24.02 23.38
190 23.05 24.34 23.7
191 22.73 23.05 22.41
192 23.38 24.02 22.73
193 23.05 24.99 22.73
194 23.38 23.38 22.41
195 23.38 23.7 23.38
196 23.38 23.7 23.38
197 23.05 24.34 23.38
198 23.05 23.7 21.44
199 23.05 23.7 23.05
200 23.05 24.02 23.05
201 23.38 24.67 23.38
202 23.05 24.02 22.73
203 23.38 24.02 22.09
204 23.38 23.38 22.09
205 23.38 24.34 22.73
206 23.05 23.7 23.05
207 22.73 24.34 23.38
208 23.7 24.02 22.41
209 23.05 24.99 22.41
210 23.7 23.05 21.12
211 23.05 23.38 22.73
212 23.7 24.34 20.47
213 23.38 21.76 21.44
214 23.7 23.38 22.73
215 23.05 19.83 22.73
216 23.05 23.38 22.73
217 23.38 24.02 21.76
218 23.05 23.05 21.76
219 22.73 22.41 20.8
220 23.05 23.38 23.05
221 24.02 22.73 27.57
222 23.05 22.73 20.47
223 23.05 22.73 21.76
224 22.73 23.38 24.67
225 23.05 23.38 23.38
226 22.73 23.05 19.83
227 22.73 22.41 22.09
228 23.05 23.38 21.12
229 22.73 23.38 20.8
230 22.73 22.41 20.15
231 22.73 21.44 23.7
232 22.41 22.41 21.44
233 22.73 21.76 22.73
234 23.05 22.41 21.76
235 22.73 22.41 19.51
236 23.38 22.09 21.12
237 23.05 22.41 21.76
238 22.73 22.73 22.09
239 22.09 21.44 19.51
240 22.73 22.09 21.12
241 22.73 21.76 20.8
242 23.05 21.12 21.44
243 23.05 24.67 21.44
244 21.76 22.41 21.12
245 22.73 22.73 21.44
246 22.73 21.76 21.76
247 22.73 21.12 21.76
248 23.38 22.73 17.25
249 22.73 22.09 21.44
250 21.12 20.8 23.05
251 22.73 22.41 21.12
252 22.73 22.41 20.47
253 22.73 22.09 21.12
254 22.73 22.09 20.47
255 22.41 22.09 20.15
256 22.73 22.09 21.12
257 22.09 21.44 22.09
258 22.73 22.73 14.35
259 22.73 21.76 24.99
260 22.73 22.41 19.83
261 22.73 22.09 21.44
262 22.73 22.09 21.44
263 22.73 22.09 21.44
264 22.73 22.09 20.15
265 22.41 22.41 20.8
266 22.73 21.76 21.12
267 22.73 21.76 21.76
268 22.73 22.09 21.12
269 22.73 22.09 22.41
270 22.73 22.09 22.09
271 22.41 22.09 21.44
272 22.73 22.41 21.44
273 22.73 22.41 21.12
274 22.73 22.41 20.8
275 22.41 22.09 20.8
276 22.41 22.09 20.47
277 22.73 21.44 21.12
278 22.41 22.09 21.12
279 22.41 21.44 20.15
280 22.41 21.76 20.8
281 21.76 21.44 20.8
282 22.41 21.76 20.8
283 22.41 21.76 21.12
284 22.41 21.76 20.8
285 22.41 21.44 20.8
286 22.09 21.76 20.15
287 22.09 21.44 20.8
288 22.09 21.12 20.15
289 22.41 20.8 21.12
290 22.41 21.12 19.83
291 22.09 20.47 19.51
292 22.09 21.12 20.15
293 22.09 21.12 20.15
294 22.09 21.12 19.83
295 22.09 21.44 21.12
296 22.41 21.44 20.15
297 22.09 21.44 19.51
298 22.41 21.44 19.83
299 22.41 21.44 20.15%
%
%2022-06-29 20:29:00.038909%
